6849|Edward Atterton
6873|Anne Openshaw
6874|Jonathan James Bitonti
6875|Ben Hernandez Bray
6876|Peter Girges
6878|Ian Mackenzie Jeffers
6889|Alex Russell
6938|Jared Abrahamson
6950|Glenn Shadix
6955|Robert Reneau
6956|Peter M. Lenkov
6964|Ethann Isidore
6983|Adria Tennor
6992|R. D. Call
7021|Elijah Rodriguez
7022|Howard Ferguson Jr.
7031|Patti Harrison
7052|Victor Cook
7054|Toby Shelton
7056|Kevin Hopps
7059|Thomas Hart
7060|Marty Isenberg
7070|Elizabeth Hawthorne
7071|Patrick Tatopoulos
7083|Peter Andersson
7085|Clementine Nicholson
7088|Anna Foerster
7089|Kyle Ward
7090|Cory Goodman
7099|BoJesse Christopher
7101|Chris Pedersen
7103|W. Peter Iliff
7122|Alessandro Gassmann
7123|Kate Nauta
7135|Dominic Fumusa
7144|Chuck Hogan
7167|Shane Acker
7168|Pamela Pettler
7180|Lee Tamahori
7195|Matt Cook
7222|Matt Ember
7223|Tom J. Astle
7232|Michael Halsey
7234|Breck Eisner
7246|Ron Glass
7261|Jules Asner
7271|Holger Handtke
7277|Donny Alamsyah
7278|Yayan Ruhian
7281|Tegar Satrya
7282|Iang Darmawan
7283|Eka 'Piranha' Rahmadia
7307|Scott Thomson
7348|Gary Fleder
7377|Jaye Davidson
7378|Viveca Lindfors
7384|Carlos Lauchu
7389|Natalie Imbruglia
7394|Douglas McFerran
7395|Steve Nicolson
7396|Terence Harvey
7398|Peter Howitt
7411|Morton Downey, Jr.
7416|Madeleine Yuna Voyles
7420|Sturgill Simpson
7421|Amar Chadha-Patel
7423|Robbie Tann
7440|Christopher Bertolini
7449|Dick Clark
7457|Derrick O'Connor
7458|Patsy Kensit
7462|Steve Kahan
7466|Warren Murphy
7474|Douglas Tait
7477|Neil Marshall
7478|Andrew Cosby
7482|Henry Zaga
7487|Dustin Ceithamer
7496|Yvan Attal
7500|Noémie Lenoir
7525|John Macmillan
7527|Seth Lochhead
7537|Yann Sundberg
7538|Ériq Ebouaney
7539|David Kammenos
7553|Xavier Gens
7561|Toby Eddington
7562|Femi Elufowoju Jr.
7566|Rachel Long
7575|Gaia Scodellaro
7578|Andrea Dodero
7580|Zakaria Hamza
7620|Marcus Gautesen
7627|Teri Wyble
7629|Wayne Duvall
7631|Christopher Berry
7634|Craig Zobel
7635|Nick Cuse
7659|John McConnell
7685|Nick Brimble
7687|John Watson
7721|Electra Avellan
7722|Elise Avellan
7727|Álvaro Rodríguez
7747|Victor Wong Chi-Keung
7748|Robert Jayne
7753|Brent Maddock
7754|S.S. Wilson
7767|Hazel Nugent
7781|Madeline 'Maddy' Wary
7783|Mark Boal
7792|Jessie Kamm
7795|Patrick Carroll
7805|Season Hubley
7809|Charles Cyphers
7831|Fraser James
7840|Marc de Jonge
7844|Doudi Shoua
7845|Randy Raney
7848|Peter MacDonald
7850|Sheldon Lettich
7870|Josh Rivera
7916|Maxwell Ross
7917|Jeff Tomsic
7918|Rob McKittrick
7929|William Eubank
7933|Roddy Piper
7939|Jason Robards III
7940|John Lawrence
7941|Susan Barnes
7957|Lee Batchler
7963|Ricky Jay
7968|Desmond Llewelyn
7974|Russell Means
7976|Eric Schweig
7979|Patrice Chéreau
7984|Philip Dunne
7986|Francesca Annis
8003|Gary Basaraba
8004|Alex Kaluzhsky
8012|Sherri Howard
8022|William Osborne
8025|O'Shea Jackson Jr.
8032|Kaiwi Lyman
8036|Paul T. Scheuring
8058|Abdul Salis
8065|Dennis Dun
8069|Donald Li
8071|Peter Kwong
8072|James Pax
8074|David Z. Weinstein
8088|David Pastor
8098|Mehdi Nebbou
8108|Daniel Puig
8113|Zach Baylin
8125|Andrew W. Marlowe
8145|Maximilian Schell
8147|Ron Eldard
8150|Mimi Leder
8151|Bruce Joel Rubin
8152|Michael Tolkin
8157|Rolf Kanies
8162|Michaela Caspar
8163|Aleksander Bach
8171|Tom Brittney
8177|Aaron Schneider
8251|Dana Gourrier
8263|Josh Pais
8324|Paula Poundstone
8327|Josh Cooley
8333|Richard S. Castellano
8336|Gianni Russo
8372|Chosen Jacobs
8377|Jake Sim
8380|Chase Palmer
8381|Gary Dauberman
8389|Brian Delate
8391|Blair Slater
